Name,Administration,Pop2014,Pop2019,city,city2,city3,city4,1,2
Sevastopol,SEV,344853,397474,XYZ123,Akyar,NA,NA,NA,NA
Simferopol,KRY,338319,341536,XYZ123,Akmescid,NA,NA,NA,NA
Kerc,KRY,144626,151025,Kerch,XYZ123,NA,NA,Bar,NA
Evpatorija,KRY,107040,107650,Yevpatoria,Gozleve,Evpatoria,NA,NA,NA
Jalta,KRY,78200,79272,Yalta,XYZ123,NA,NA,Malin,NA
Feodosija,KRY,69040,68029,Feodosia,XYZ123,NA,NA,NA,NA
Dzankoj,KRY,35693,38438,Dzhankoy,XYZ123,NA,NA,NA,NA
Alusta,KRY,28295,29963,Alushta,XYZ123,NA,NA,NA,NA
Bachcysaraj,KRY,26651,26572,Bakhchysarai,XYZ123,NA,NA,NA,NA
Krasnoperekopsk,KRY,29672,25187,XYZ123,XYZ123,NA,NA,NA,NA
Saky,KRY,23391,24727,XYZ123,XYZ123,NA,NA,Saki,Bar
Armjansk,KRY,22286,21552,Armyansk,Armensk,NA,NA,NA,NA
